Gene_acc,Gene_id,DM1,DM2,DM3,Minus1,Minus2,Minus3,Desc
0,Tb05.5K5.110,3136500.0,3263900.0,3523500.0,3452900.0,3343900.0,3515900.0,"major vault protein, putative"
1,Tb06.3A7.270,419150.0,441490.0,451540.0,496830.0,479650.0,508380.0,"hypothetical protein, conserved"
2,Tb06.3A7.960,405900.0,426350.0,439560.0,411540.0,397800.0,417990.0,hypothetical protein
3,Tb07.11L3.100,130270.0,131470.0,134120.0,111420.0,111330.0,112860.0,SUMO-interacting motif-containing protein
4,Tb09.v4.0015,352310.0,360970.0,381250.0,444020.0,418320.0,448190.0,hypothetical protein
5,Tb10.v4.0033,1334300.0,1405300.0,1439800.0,1174900.0,1169400.0,1165600.0,pumillo RNA binding protein PUF1
6,Tb10.v4.0035,2341800.0,2562800.0,2520600.0,2393800.0,2487700.0,2437200.0,"stress-inducible protein STI1-like, putative"
7,Tb10.v4.0041,1385200.0,1624300.0,1473100.0,1345200.0,1406700.0,1315300.0,"PUB domain containing protein, putative"
8,Tb10.v4.0052,1147500.0,1212900.0,1244400.0,1422500.0,1429800.0,1483100.0,microtubule-associated protein 2
9,Tb11.01.2730,350820.0,378540.0,395840.0,343600.0,350620.0,353280.0,"hypothetical protein, conserved"
10,Tb11.02.5070b,281480.0,289720.0,308170.0,303710.0,297690.0,315360.0,"hypothetical protein, conserved"
11,Tb11.02.5090b,235500.0,272060.0,255430.0,265180.0,261660.0,260870.0,"proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene"
12,Tb11.02.5105b,305870.0,322590.0,334910.0,284550.0,279480.0,292880.0,"hypothetical protein, conserved"
13,Tb11.02.5360b,224060.0,252250.0,261180.0,240550.0,240980.0,248370.0,"hypothetical protein, conserved"
14,Tb11.02.5370b,24409.0,23599.0,26158.0,23800.0,23707.0,24459.0,"hypothetical protein, conserved"
15,Tb11.02.5380b,865670.0,952750.0,968120.0,983860.0,1003400.0,1009300.0,"exosome complex exonuclease RRP44p homologue, putative"
16,Tb11.02.5390b,1554800.0,1649700.0,1658400.0,1646000.0,1656300.0,1657000.0,"mRNA processing protein, putative"
17,Tb11.02.5400b,3179600.0,3350000.0,3547100.0,3825300.0,3748100.0,3825200.0,"cystathionine beta-synthase, putative"
18,Tb11.02.5410b,560080.0,583730.0,607220.0,582200.0,575150.0,583490.0,"ubiquitin activating enzyme, putative"
19,Tb11.02.5420b,1672200.0,1780600.0,1826100.0,2055300.0,2045400.0,2024100.0,"NADPH-cytochrome p450 reductase, putative"
20,Tb11.02.5430b,135350.0,151900.0,141770.0,140340.0,139410.0,141150.0,"hypothetical protein, conserved"
21,Tb11.0320,270530.0,284360.0,299450.0,280630.0,275110.0,293540.0,hypothetical protein
22,Tb11.0400,2383700.0,2477300.0,2594300.0,850600.0,855890.0,887200.0,"P27 protein, putative"
23,Tb11.0870,91378.0,97811.0,100590.0,91238.0,85154.0,88565.0,hypothetical protein
24,Tb11.0890,882320.0,931950.0,976440.0,859540.0,846220.0,846620.0,"epsin, putative"
25,Tb11.1220,1988700.0,2063800.0,2180300.0,1993000.0,1919700.0,2007300.0,hypothetical protein
26,Tb11.1390.1-p1,1072000.0,1110500.0,1176200.0,1155600.0,1152500.0,1152600.0,"hypothetical protein, conserved"
27,Tb11.1780.1-p1,691600.0,734650.0,774450.0,729360.0,726260.0,743020.0,"retrotransposon hot spot protein 1 (RHS1, pseudogene), putative"
28,Tb11.1790.1-p1,229320.0,228610.0,230240.0,193570.0,190340.0,191540.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
29,Tb11.1810b.1-p1,165180.0,144710.0,178030.0,223980.0,178370.0,225480.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
30,Tb11.v5.0154,2013600.0,2220300.0,2223500.0,2073400.0,2118400.0,2048000.0,"WD domain, G-beta repeat, putative"
31,Tb11.v5.0162,1081500.0,1144900.0,1150600.0,1091200.0,1097300.0,1113900.0,proteasome beta 6 subunit
32,Tb11.v5.0191,179070.0,181530.0,195650.0,153780.0,158980.0,170370.0,"ELMO/CED-12 family, putative"
33,Tb11.v5.0194,56717.0,55763.0,62282.0,49183.0,42879.0,54717.0,"hypothetical protein, conserved"
34,Tb11.v5.0196,3281500.0,3489700.0,3563600.0,3192600.0,3259000.0,3141500.0,"Proteasome subunit A N-terminal signature/Proteasome subunit, putative"
35,Tb11.v5.0325,413640.0,443320.0,450380.0,616220.0,615950.0,625310.0,"retrotransposon hot spot (RHS) protein, putative"
36,Tb11.v5.0326,776640.0,793930.0,855330.0,805140.0,800660.0,829260.0,"retrotransposon hot spot (RHS) protein, putative"
37,Tb11.v5.0365,56030.0,57691.0,57473.0,46189.0,40839.0,49772.0,"hypothetical protein, conserved"
38,Tb11.v5.0366,2908800.0,2984900.0,3152800.0,3133900.0,3067500.0,3095700.0,"hypothetical protein, conserved"
39,Tb11.v5.0412,330980.0,339580.0,369200.0,318820.0,319000.0,338470.0,"hypothetical protein, conserved"
40,Tb11.v5.0428,44764.0,47561.0,48470.0,56218.0,55196.0,55855.0,"hypothetical protein, conserved"
41,Tb11.v5.0468,99132.0,131770.0,110360.0,96356.0,125300.0,92271.0,"alpha tubulin, putative"
42,Tb11.v5.0480,1129400.0,1116000.0,1250900.0,1141600.0,1049500.0,1189600.0,"DNA-directed RNA polymerase, alpha subunit, putative"
43,Tb11.v5.0482,115950.0,130330.0,117050.0,109230.0,110200.0,108880.0,"hypothetical protein, conserved"
44,Tb11.v5.0487,497990.0,527780.0,548830.0,532300.0,528480.0,549520.0,"Programmed cell death protein 2, C-terminal putative domain containing protein, putative"
45,Tb11.v5.0489,221330.0,228810.0,248380.0,277250.0,267920.0,285710.0,"retrotransposon hot spot (RHS) protein, putative"
46,Tb11.v5.0493,146860.0,136460.0,160360.0,139360.0,120420.0,129460.0,"kinesin K39, putative"
47,Tb11.v5.0501,4878000.0,5134600.0,5312400.0,4405500.0,4344900.0,4387600.0,"40S ribosomal protein S3A, putative"
48,Tb11.v5.0507,231430.0,257000.0,249460.0,235070.0,254780.0,241100.0,"hypothetical protein, conserved"
49,Tb11.v5.0517,166560.0,181590.0,178400.0,153220.0,151840.0,152710.0,"hypothetical protein, conserved"
50,Tb11.v5.0528,241710.0,257450.0,264650.0,244020.0,246350.0,252350.0,"hypothetical protein, conserved"
51,Tb11.v5.0537,2948400.0,3187400.0,3191800.0,2906500.0,3046700.0,2907100.0,"polyubiquitin, putative"
52,Tb11.v5.0553,172910.0,181520.0,187000.0,188080.0,176280.0,180990.0,"ubiquitin hydrolase, putative"
53,Tb11.v5.0567,45312.0,46273.0,46145.0,63958.0,65414.0,63542.0,"retrotransposon hot spot (RHS) protein, putative"
54,Tb11.v5.0594,371200.0,368560.0,415430.0,473030.0,427660.0,499960.0,"retrotransposon hot spot (RHS) protein, putative"
55,Tb11.v5.0618,31636.0,33432.0,39383.0,28030.0,27531.0,26360.0,"hypothetical protein, conserved"
56,Tb11.v5.0624,1972900.0,2110200.0,2162700.0,2206600.0,2189500.0,2210300.0,"retrotransposon hot spot protein (PHS), putative"
57,Tb11.v5.0627,293050.0,318830.0,329150.0,320740.0,322130.0,330100.0,"lipase domain protein, putative"
58,Tb11.v5.0636,2137000.0,2196400.0,2320700.0,2490500.0,2407200.0,2481700.0,"C-terminal motor kinesin, putative"
59,Tb11.v5.0652,80544.0,88128.0,94601.0,83711.0,92171.0,88947.0,"protein kinase, putative"
60,Tb11.v5.0670,138280.0,153460.0,157360.0,153100.0,146040.0,157430.0,"retrotransposon hot spot (RHS) protein, putative"
61,Tb11.v5.0692,452740.0,508460.0,512820.0,538010.0,535790.0,556260.0,"Thiopurine S-methyltransferase (TPMT), putative"
62,Tb11.v5.0713,5108400.0,5449100.0,5548600.0,5462000.0,5514500.0,5434300.0,"Retrotransposon hot spot protein 6 (RHS6), putative"
63,Tb11.v5.0735,32814.0,34735.0,34916.0,33985.0,29693.0,34675.0,"hypothetical protein, conserved"
64,Tb11.v5.0736,332660.0,344690.0,364790.0,366680.0,360090.0,362310.0,"ABC1 family, putative"
65,Tb11.v5.0745,50371.0,57209.0,60006.0,48566.0,52366.0,53372.0,"hypothetical protein, conserved"
66,Tb11.v5.0746,698420.0,720200.0,757060.0,721450.0,704390.0,737540.0,"tatD related deoxyribonuclease, putative"
67,Tb11.v5.0760,35996.0,43317.0,50979.0,48036.0,44689.0,49905.0,"RNA polymerase III transcription factor (TF)IIIC subunit, putative"
68,Tb11.v5.0765,78569.0,83764.0,85510.0,85637.0,82372.0,93064.0,"N-acetylglucosaminyl-phosphatidylinositol biosynthetic protein, putative"
69,Tb11.v5.0807,775320.0,789390.0,839210.0,814090.0,798660.0,830180.0,"ribonuclease, putative"
70,Tb11.v5.0839,192720.0,222220.0,214830.0,69585.0,74645.0,70095.0,"retrotransposon hot spot (RHS) protein, putative"
71,Tb11.v5.0842,253080.0,278410.0,288820.0,260560.0,265920.0,272230.0,"Vesicle coat protein involved in Golgi to plasma membrane transport, putative"
72,Tb11.v5.0853,470330.0,504510.0,508550.0,503600.0,500570.0,507140.0,"Vacuolar sorting protein 9 (VPS9) domain containing protein, putative"
73,Tb11.v5.0868,15827.0,17532.0,18382.0,16457.0,12301.0,14276.0,"mitotubule-associated protein Gb4, putative"
74,Tb11.v5.0885,83245.0,88032.0,94485.0,95089.0,87304.0,88689.0,"amino acid transporter, putative"
75,Tb11.v5.0892,62371.0,62807.0,68673.0,57184.0,55955.0,60646.0,"hypothetical protein, conserved"
76,Tb11.v5.0905,345750.0,365970.0,367570.0,375200.0,366420.0,367610.0,"hypothetical protein, conserved"
77,Tb11.v5.0965,404910.0,442140.0,446190.0,416390.0,410570.0,437760.0,"ATP-dependent DEAH-box RNA helicase, putative"
78,Tb11.v5.1016,93721.0,108740.0,109210.0,211470.0,206080.0,211260.0,"receptor-type adenylate cyclase GRESAG 4 (pseudogene), putative"
79,Tb11.v5.1020,119460.0,124510.0,127150.0,140140.0,143070.0,142360.0,"retrotransposon hot spot (RHS) protein, putative"
80,Tb11.v5.1052,64156.0,73870.0,75843.0,35291.0,32248.0,34709.0,"nucleobase/nucleoside transporter 8.1, putative"
81,Tb927.1.1000,668830.0,732100.0,715980.0,659950.0,678110.0,655780.0,developmentally regulated phosphoprotein
82,Tb927.1.1020,238480.0,246470.0,265780.0,263790.0,254760.0,265780.0,leucine-rich repeat-containing protein
83,Tb927.1.1030,309030.0,336380.0,338240.0,358920.0,349510.0,350080.0,Nucleolar protein 49
84,Tb927.1.1050,211750.0,209830.0,228560.0,223790.0,221700.0,227730.0,Metallo-dependent phosphatase-like domain-containing protein
85,Tb927.1.1060,623910.0,621680.0,670140.0,595870.0,564080.0,603770.0,"Cell cycle checkpoint protein RAD1-like, putative"
86,Tb927.1.1080,44949.0,48962.0,48080.0,45944.0,46188.0,45687.0,"TFIIH basal transcription factor subunit, putative"
87,Tb927.1.1100,442280.0,464410.0,484200.0,389850.0,390850.0,420570.0,Basal body protein
88,Tb927.1.1120,351470.0,366780.0,376280.0,347060.0,336020.0,359660.0,"ribosomal RNA-processing protein 8, putative"
89,Tb927.1.1130,435180.0,471560.0,476450.0,402660.0,413800.0,406790.0,"glycerol-3-phosphate dehydrogenase (FAD-dependent), putative"
90,Tb927.1.1140,293080.0,311350.0,337130.0,385960.0,375760.0,392380.0,"Transmembrane protein 231, putative"
91,Tb927.1.1150,47029.0,46569.0,53152.0,48792.0,51301.0,55289.0,zeta tubulin
92,Tb927.1.1160,231460.0,239740.0,247480.0,186640.0,190750.0,199790.0,kinetoplast ribosomal PPR-repeat containing protein 3
93,Tb927.1.120,6426000.0,6692100.0,6962400.0,7515600.0,7381900.0,7496300.0,"retrotransposon hot spot protein 4 (RHS4), putative"
94,Tb927.1.1200,690970.0,721590.0,762030.0,538560.0,535830.0,542350.0,Mitochondrial ribosomal protein S15
95,Tb927.1.1210,110110.0,114230.0,125900.0,112700.0,118110.0,126560.0,"conserved protein, unknown function"
96,Tb927.1.1220,726240.0,785300.0,808720.0,707110.0,715850.0,719560.0,RWD domain-containing protein
97,Tb927.1.1240,2105500.0,2233600.0,2301800.0,2664600.0,2654900.0,2659200.0,"cytidine triphosphate synthase, putative"
98,Tb927.1.1270,1172100.0,1287500.0,1279100.0,1008400.0,1031000.0,1022000.0,"homocysteine S-methyltransferase, putative"
99,Tb927.1.1310,201040.0,212770.0,218990.0,243560.0,233990.0,242930.0,"transmembrane protein, conserved"
100,Tb927.1.1330,800380.0,806480.0,859600.0,816700.0,768830.0,845360.0,Mitochondrial Editosome-like Complex TUTase
101,Tb927.1.1340,310620.0,345860.0,328250.0,276860.0,303530.0,257480.0,"Quinonprotein alcohol dehydrogenase-like protein, putative"
102,Tb927.1.1370,1286000.0,1341300.0,1399200.0,786950.0,784020.0,804910.0,"rRNA biogenesis protein, putative"
103,Tb927.1.1380,1035400.0,1075200.0,1146700.0,1106800.0,1102400.0,1118100.0,"serine/threonine protein phosphatase 2A regulatory subunit, putative"
104,Tb927.1.1390,173100.0,190990.0,188740.0,161740.0,166000.0,165230.0,"hypothetical protein, conserved"
105,Tb927.1.1400,169680.0,181990.0,191210.0,143560.0,149040.0,150510.0,"Overproducer of inositol protein 10 homolog, putative"
106,Tb927.1.1420,675300.0,688840.0,711370.0,640600.0,615300.0,642500.0,"conserved protein, unknown function"
107,Tb927.1.1470,612630.0,653480.0,660640.0,648340.0,659880.0,657690.0,"conserved protein, unknown function"
108,Tb927.1.1530,215770.0,227090.0,240260.0,273290.0,268710.0,277460.0,"STE group serine/threonine-protein kinase, putative"
109,Tb927.1.1540,406530.0,430180.0,454410.0,465150.0,483070.0,486000.0,"Tubulin/FtsZ family, putative"
110,Tb927.1.1550,268870.0,302860.0,309220.0,311520.0,307090.0,313440.0,"tubulin-tyrosine ligase, putative"
111,Tb927.1.1560,2351500.0,2584700.0,2542400.0,2492200.0,2534700.0,2437900.0,"vesicular-fusion protein nsf, putative"
112,Tb927.1.1580,731830.0,781040.0,788520.0,824110.0,819340.0,823640.0,"electron transport protein SCO1/2, putative"
113,Tb927.1.1610,121870.0,133190.0,137800.0,150100.0,151610.0,157630.0,"hypothetical protein, conserved"
114,Tb927.1.1620,886100.0,930510.0,958730.0,838830.0,853130.0,875930.0,"ATP-dependent DEAD/H RNA helicase, putative"
115,Tb927.1.1630,113970.0,123560.0,119380.0,128870.0,123370.0,134660.0,transcription elongation factor 1 homolog
116,Tb927.1.1640,93439.0,98058.0,101580.0,95328.0,95209.0,96341.0,"hypothetical protein, conserved"
117,Tb927.1.1670,3093500.0,3156600.0,3389100.0,3373800.0,3221200.0,3387200.0,ARM-like helical domain-containing protein
118,Tb927.1.1680,256770.0,274070.0,293670.0,315940.0,305510.0,323090.0,Transcription elongation factor 1 domain-containing protein
119,Tb927.1.1690,510790.0,545230.0,562180.0,499080.0,519630.0,521840.0,RNA-editing nuclease 1
120,Tb927.1.1700,1371700.0,1527600.0,1516900.0,1333400.0,1382100.0,1315500.0,"AATF protein, putative"
121,Tb927.1.1710,1391900.0,1504700.0,1511100.0,1564500.0,1550200.0,1579600.0,"transmembrane protein, conserved"
122,Tb927.1.1720,573860.0,586810.0,607830.0,528810.0,505690.0,534380.0,"cyclophilin 15, putative"
123,Tb927.1.1730,621060.0,643950.0,677120.0,634210.0,631110.0,655020.0,"Polyadenylation mediator complex protein PAMC1, putative"
124,Tb927.1.1750,75117.0,78067.0,88520.0,76634.0,75923.0,90604.0,"conserved protein, unknown function"
125,Tb927.1.1770,373220.0,403570.0,396940.0,363760.0,360970.0,364720.0,Dithiol glutaredoxin 2
126,Tb927.1.1790,164800.0,172090.0,177210.0,169730.0,163590.0,173220.0,"hypothetical PIN domain-containing protein, conserved"
127,Tb927.1.180,4981600.0,5257600.0,5428600.0,5723100.0,5702900.0,5716300.0,"retrotransposon hot spot protein 1 (RHS1), putative"
128,Tb927.1.1840,227670.0,227210.0,240640.0,244040.0,232540.0,249830.0,"conserved protein, unknown function"
129,Tb927.1.1880,142950.0,149820.0,152900.0,125750.0,123390.0,131030.0,WD40 repeat-containing protein
130,Tb927.1.1890,251580.0,273220.0,279310.0,265480.0,275550.0,258110.0,Replication Factor C Subunit 1-related protein
131,Tb927.1.190,1767200.0,1849300.0,1968700.0,2166800.0,2131900.0,2176300.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
