Gene_acc,Gene_id,Signed_Rank,log10_TMT_intensity,FDR,Desc
0,Tb05.5K5.110,1.168933,6.531510849286077,0.6340899999999999,"major vault protein, putative"
1,Tb06.3A7.270,5.261613,5.6745102580322975,0.26941,"hypothetical protein, conserved"
2,Tb06.3A7.960,-1.400527,5.617165006116728,0.5907600000000001,hypothetical protein
3,Tb07.11L3.100,-1.6243530000000002,5.088851641633972,0.55045,SUMO-interacting motif-containing protein
4,Tb09.v4.0015,48.511831,5.6267375189764,0.0119,hypothetical protein
5,Tb10.v4.0033,-35.454601000000004,6.088323946901837,0.0207,pumillo RNA binding protein PUF1
6,Tb10.v4.0035,-0.6885020000000001,6.390223057536707,0.75111,"stress-inducible protein STI1-like, putative"
7,Tb10.v4.0041,-0.643151,6.1552388418104504,0.76277,"PUB domain containing protein, putative"
8,Tb10.v4.0052,39.270006,6.141283549481654,0.01782,microtubule-associated protein 2
9,Tb11.01.2730,0.353675,5.5622393180002945,0.8622299999999999,"hypothetical protein, conserved"
10,Tb11.02.5070b,3.981432,5.483226304601793,0.33366,"hypothetical protein, conserved"
11,Tb11.02.5090b,6.072758,5.420961881120924,0.24355,"proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene"
12,Tb11.02.5105b,-1.972366,5.48128063368471,0.50593,"hypothetical protein, conserved"
13,Tb11.02.5360b,5.192531,5.401591795042095,0.27299,"hypothetical protein, conserved"
14,Tb11.02.5370b,-1.7926630000000001,4.383003445910472,0.5293399999999999,"hypothetical protein, conserved"
15,Tb11.02.5380b,2.922094,6.0088742868507135,0.40657,"exosome complex exonuclease RRP44p homologue, putative"
16,Tb11.02.5390b,0.564447,6.216155341805454,0.7862,"mRNA processing protein, putative"
17,Tb11.02.5400b,8.543155,6.56202625671108,0.17317000000000002,"cystathionine beta-synthase, putative"
18,Tb11.02.5410b,-0.565967,5.763759578078211,0.7861199999999999,"ubiquitin activating enzyme, putative"
19,Tb11.02.5420b,6.10074,6.2848298756868815,0.24251,"NADPH-cytochrome p450 reductase, putative"
20,Tb11.02.5430b,-0.43001300000000003,5.150185189601972,0.82937,"hypothetical protein, conserved"
21,Tb11.0320,0.44500100000000004,5.486798729097594,0.8239200000000001,hypothetical protein
22,Tb11.0400,-86.92685300000001,6.201327740917728,0.00278,"P27 protein, putative"
23,Tb11.0870,-1.732263,4.965667741058447,0.5382600000000001,hypothetical protein
24,Tb11.0890,-12.708396,5.936784087057733,0.11143,"epsin, putative"
25,Tb11.1220,-2.000138,6.301029995663981,0.5040100000000001,hypothetical protein
26,Tb11.1390.1-p1,-6.176682,6.04024542334341,0.24024,"hypothetical protein, conserved"
27,Tb11.1780.1-p1,3.4245019999999995,5.874537478044758,0.36959000000000003,"retrotransposon hot spot protein 1 (RHS1, pseudogene), putative"
28,Tb11.1790.1-p1,-12.712237,5.314109598669944,0.11143,"retrotransposon hot spot protein (RHS, pseudogene), putative"
29,Tb11.1810b.1-p1,33.315018,5.285795767960695,0.02359,"retrotransposon hot spot protein (RHS, pseudogene), putative"
30,Tb11.v5.0154,-1.096723,6.323507856278261,0.64868,"WD domain, G-beta repeat, putative"
31,Tb11.v5.0162,-0.65983,6.04695925629152,0.75972,proteasome beta 6 subunit
32,Tb11.v5.0191,-0.5247029999999999,5.242113880094346,0.79608,"ELMO/CED-12 family, putative"
33,Tb11.v5.0194,-0.9762,4.732561815352686,0.67574,"hypothetical protein, conserved"
34,Tb11.v5.0196,-1.19048,6.522983831829999,0.6281800000000001,"Proteasome subunit A N-terminal signature/Proteasome subunit, putative"
35,Tb11.v5.0325,35.71522,5.7335078231078365,0.0207,"retrotransposon hot spot (RHS) protein, putative"
36,Tb11.v5.0326,-0.395365,5.907886781914454,0.84525,"retrotransposon hot spot (RHS) protein, putative"
37,Tb11.v5.0365,-35.345607,4.690218237345011,0.0208,"hypothetical protein, conserved"
38,Tb11.v5.0366,-3.1379610000000002,6.4769779138880965,0.38699,"hypothetical protein, conserved"
