Gene_acc,Gene_id,Signed_Rank,log10_TMT_intensity,FDR,Desc
0,Tb05.5K5.110,1.165338,6.531510849286077,0.66906,"major vault protein, putative"
1,Tb06.3A7.270,3.4214379999999998,5.6745102580322975,0.41506000000000004,"hypothetical protein, conserved"
2,Tb06.3A7.960,0.996872,5.617165006116728,0.70118,hypothetical protein
3,Tb07.11L3.100,-12.72129,5.088851641633972,0.13339,SUMO-interacting motif-containing protein
4,Tb09.v4.0015,-1.6775669999999998,5.6267375189764,0.58372,hypothetical protein
5,Tb10.v4.0033,4.98802,6.088323946901837,0.32055,pumillo RNA binding protein PUF1
6,Tb10.v4.0035,1.04444,6.390223057536707,0.69265,"stress-inducible protein STI1-like, putative"
7,Tb10.v4.0041,-1.085027,6.1552388418104504,0.68445,"PUB domain containing protein, putative"
8,Tb10.v4.0052,-0.364381,6.141283549481654,0.87741,microtubule-associated protein 2
9,Tb11.01.2730,-3.5470019999999995,5.5622393180002945,0.40514,"hypothetical protein, conserved"
10,Tb11.02.5070b,-0.436429,5.483226304601793,0.8523,"hypothetical protein, conserved"
11,Tb11.02.5090b,-1.2319799999999999,5.420961881120924,0.65803,"proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene"
12,Tb11.02.5105b,-2.792971,5.48128063368471,0.46052,"hypothetical protein, conserved"
13,Tb11.02.5360b,-5.789352,5.401591795042095,0.29011,"hypothetical protein, conserved"
14,Tb11.02.5370b,1.910625,4.383003445910472,0.55298,"hypothetical protein, conserved"
15,Tb11.02.5380b,1.635774,5.989901231443667,0.59024,"exosome complex exonuclease RRP44p homologue, putative"
16,Tb11.02.5390b,1.173133,6.216155341805454,0.6681699999999999,"mRNA processing protein, putative"
17,Tb11.02.5400b,2.486018,6.56202625671108,0.48866000000000004,"cystathionine beta-synthase, putative"
18,Tb11.02.5410b,1.23363,5.763759578078211,0.65774,"ubiquitin activating enzyme, putative"
19,Tb11.02.5420b,7.988033000000001,6.2848298756868815,0.22002,"NADPH-cytochrome p450 reductase, putative"
20,Tb11.02.5430b,0.665089,5.150185189601972,0.7858,"hypothetical protein, conserved"
21,Tb11.0320,0.494949,5.455170839460052,0.83291,hypothetical protein
22,Tb11.0400,-269.727801,6.204235598171099,0.0,"P27 protein, putative"
23,Tb11.0870,-0.658822,4.965667741058447,0.78638,hypothetical protein
24,Tb11.0890,3.749232,5.936784087057733,0.39088,"epsin, putative"
25,Tb11.1220,0.763798,6.302460807910379,0.7590899999999999,hypothetical protein
26,Tb11.1390.1-p1,25.997811,6.044408041009834,0.04978,"hypothetical protein, conserved"
27,Tb11.1780.1-p1,-2.490348,5.874537478044758,0.48796999999999996,"retrotransposon hot spot protein 1 (RHS1, pseudogene), putative"
28,Tb11.1790.1-p1,-1.313412,5.314109598669944,0.64759,"retrotransposon hot spot protein (RHS, pseudogene), putative"
29,Tb11.1810b.1-p1,0.116139,5.285795767960695,0.9912299999999999,"retrotransposon hot spot protein (RHS, pseudogene), putative"
