,Gene_acc,Gene_id,Plus1,Plus2,Plus3,Minus1,Minus2,Minus3,Desc
0,0,Tb05.5K5.110,3252500.0,3376200.0,3222900.0,3452900.0,3343900.0,3515900.0,"major vault protein, putative"
1,1,Tb06.3A7.270,446360.0,484670.0,438450.0,496830.0,479650.0,508380.0,"hypothetical protein, conserved"
2,2,Tb06.3A7.960,387810.0,399010.0,390870.0,411540.0,397800.0,417990.0,hypothetical protein
3,3,Tb07.11L3.100,123460.0,118070.0,122080.0,111420.0,111330.0,112860.0,SUMO-interacting motif-containing protein
4,4,Tb09.v4.0015,442570.0,459560.0,433620.0,444020.0,418320.0,448190.0,hypothetical protein
5,5,Tb10.v4.0033,1073600.0,1070500.0,1072900.0,1174900.0,1169400.0,1165600.0,pumillo RNA binding protein PUF1
6,6,Tb10.v4.0035,2339500.0,2304300.0,2325900.0,2393800.0,2487700.0,2437200.0,"stress-inducible protein STI1-like, putative"
7,7,Tb10.v4.0041,1412800.0,1339600.0,1382400.0,1345200.0,1406700.0,1315300.0,"PUB domain containing protein, putative"
8,8,Tb10.v4.0052,1419900.0,1452000.0,1394100.0,1422500.0,1429800.0,1483100.0,microtubule-associated protein 2
9,9,Tb11.01.2730,349450.0,384490.0,351770.0,343600.0,350620.0,353280.0,"hypothetical protein, conserved"
10,10,Tb11.02.5070b,298800.0,302820.0,303210.0,303710.0,297690.0,315360.0,"hypothetical protein, conserved"
11,11,Tb11.02.5090b,258800.0,282720.0,256040.0,265180.0,261660.0,260870.0,"proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene"
12,12,Tb11.02.5105b,298840.0,293840.0,288810.0,284550.0,279480.0,292880.0,"hypothetical protein, conserved"
13,13,Tb11.02.5360b,247230.0,260330.0,258300.0,240550.0,240980.0,248370.0,"hypothetical protein, conserved"
14,14,Tb11.02.5370b,21310.0,22277.0,23857.0,23800.0,23707.0,24459.0,"hypothetical protein, conserved"
15,15,Tb11.02.5380b,941920.0,953680.0,941150.0,983860.0,1003400.0,1009300.0,"exosome complex exonuclease RRP44p homologue, putative"
16,16,Tb11.02.5390b,1568500.0,1604400.0,1566000.0,1646000.0,1656300.0,1657000.0,"mRNA processing protein, putative"
17,17,Tb11.02.5400b,3530500.0,3659900.0,3504300.0,3825300.0,3748100.0,3825200.0,"cystathionine beta-synthase, putative"
18,18,Tb11.02.5410b,551470.0,560850.0,549770.0,582200.0,575150.0,583490.0,"ubiquitin activating enzyme, putative"
19,19,Tb11.02.5420b,1850500.0,1841500.0,1830900.0,2055300.0,2045400.0,2024100.0,"NADPH-cytochrome p450 reductase, putative"
20,20,Tb11.02.5430b,140770.0,133440.0,131010.0,140340.0,139410.0,141150.0,"hypothetical protein, conserved"
21,21,Tb11.0320,265380.0,291480.0,265960.0,280630.0,275110.0,293540.0,hypothetical protein
22,22,Tb11.0400,1620800.0,1720400.0,1622800.0,850600.0,855890.0,887200.0,"P27 protein, putative"
23,23,Tb11.0870,84294.0,93660.0,88281.0,91238.0,85154.0,88565.0,hypothetical protein
24,24,Tb11.0890,786950.0,794280.0,782350.0,859540.0,846220.0,846620.0,"epsin, putative"
25,25,Tb11.1220,1881000.0,1965800.0,1862700.0,1993000.0,1919700.0,2007300.0,hypothetical protein
26,26,Tb11.1390.1-p1,964940.0,1007600.0,979900.0,1155600.0,1152500.0,1152600.0,"hypothetical protein, conserved"
27,27,Tb11.1780.1-p1,742360.0,761920.0,748040.0,729360.0,726260.0,743020.0,"retrotransposon hot spot protein 1 (RHS1, pseudogene), putative"
28,28,Tb11.1790.1-p1,195950.0,201390.0,184440.0,193570.0,190340.0,191540.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
29,29,Tb11.1810b.1-p1,189100.0,228630.0,185330.0,223980.0,178370.0,225480.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
30,30,Tb11.v5.0154,1984500.0,1977400.0,2026000.0,2073400.0,2118400.0,2048000.0,"WD domain, G-beta repeat, putative"
31,31,Tb11.v5.0162,1072300.0,1078400.0,1040700.0,1091200.0,1097300.0,1113900.0,proteasome beta 6 subunit
32,32,Tb11.v5.0191,171410.0,185300.0,170190.0,153780.0,158980.0,170370.0,"ELMO/CED-12 family, putative"
33,33,Tb11.v5.0194,50575.0,57552.0,53038.0,49183.0,42879.0,54717.0,"hypothetical protein, conserved"
34,34,Tb11.v5.0196,3239900.0,3212100.0,3152300.0,3192600.0,3259000.0,3141500.0,"Proteasome subunit A N-terminal signature/Proteasome subunit, putative"
35,35,Tb11.v5.0325,521430.0,526790.0,488770.0,616220.0,615950.0,625310.0,"retrotransposon hot spot (RHS) protein, putative"
36,36,Tb11.v5.0326,764910.0,791270.0,765620.0,805140.0,800660.0,829260.0,"retrotransposon hot spot (RHS) protein, putative"
37,37,Tb11.v5.0365,41483.0,43796.0,45512.0,46189.0,40839.0,49772.0,"hypothetical protein, conserved"
