Gene_acc,Gene_id,Signed_Rank,log10_TMT_intensity,FDR,Desc
0,Tb05.5K5.110,1.933025,6.531510849286077,0.46148,"major vault protein, putative"
1,Tb06.3A7.270,9.973925999999999,5.6745102580322975,0.12367,"hypothetical protein, conserved"
2,Tb06.3A7.960,-0.513884,5.617165006116728,0.77208,hypothetical protein
3,Tb07.11L3.100,-10.404819999999999,5.088851641633972,0.11839000000000001,SUMO-interacting motif-containing protein
4,Tb09.v4.0015,20.286832,5.6267375189764,0.04879,hypothetical protein
5,Tb10.v4.0033,-12.589232,6.088323946901837,0.09597,pumillo RNA binding protein PUF1
6,Tb10.v4.0035,0.43128599999999995,6.390223057536707,0.80835,"stress-inducible protein STI1-like, putative"
7,Tb10.v4.0041,-2.7247220000000003,6.1552388418104504,0.37806999999999996,"PUB domain containing protein, putative"
8,Tb10.v4.0052,21.305104,6.141283549481654,0.04546,microtubule-associated protein 2
9,Tb11.01.2730,-1.47489,5.5622393180002945,0.52975,"hypothetical protein, conserved"
10,Tb11.02.5070b,2.076653,5.483226304601793,0.44373,"hypothetical protein, conserved"
11,Tb11.02.5090b,1.510995,5.420961881120924,0.52384,"proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene"
12,Tb11.02.5105b,-4.590315,5.48128063368471,0.26304,"hypothetical protein, conserved"
13,Tb11.02.5360b,0.487864,5.401591795042095,0.78375,"hypothetical protein, conserved"
14,Tb11.02.5370b,-0.404278,4.383003445910472,0.81905,"hypothetical protein, conserved"
15,Tb11.02.5380b,4.157422,5.989901231443667,0.28524,"exosome complex exonuclease RRP44p homologue, putative"
16,Tb11.02.5390b,1.180879,6.216155341805454,0.58531,"mRNA processing protein, putative"
17,Tb11.02.5400b,10.142799,6.56202625671108,0.12165999999999999,"cystathionine beta-synthase, putative"
18,Tb11.02.5410b,0.565357,5.763759578078211,0.75602,"ubiquitin activating enzyme, putative"
19,Tb11.02.5420b,14.307784,6.2848298756868815,0.08132,"NADPH-cytochrome p450 reductase, putative"
20,Tb11.02.5430b,0.34527800000000003,5.150185189601972,0.84924,"hypothetical protein, conserved"
21,Tb11.0320,0.562577,5.455170839460052,0.75605,hypothetical protein
22,Tb11.0400,-319.484064,6.204235598171099,0.0,"P27 protein, putative"
23,Tb11.0870,-2.282858,4.965667741058447,0.41953,hypothetical protein
24,Tb11.0890,-2.313291,5.936784087057733,0.41745,"epsin, putative"
25,Tb11.1220,-0.842359,6.302460807910379,0.66298,hypothetical protein
26,Tb11.1390.1-p1,1.531752,6.044408041009834,0.52068,"hypothetical protein, conserved"
27,Tb11.1780.1-p1,0.662985,5.874537478044758,0.7186100000000001,"retrotransposon hot spot protein 1 (RHS1, pseudogene), putative"
28,Tb11.1790.1-p1,-13.152773000000002,5.314109598669944,0.09033,"retrotransposon hot spot protein (RHS, pseudogene), putative"
29,Tb11.1810b.1-p1,38.524127,5.285795767960695,0.0158,"retrotransposon hot spot protein (RHS, pseudogene), putative"
30,Tb11.v5.0154,-0.4897,6.323507856278261,0.78276,"WD domain, G-beta repeat, putative"
31,Tb11.v5.0162,-0.332449,6.04695925629152,0.8563299999999999,proteasome beta 6 subunit
32,Tb11.v5.0191,-6.699914,5.242113880094346,0.186,"ELMO/CED-12 family, putative"
33,Tb11.v5.0194,-11.168688000000001,4.732561815352686,0.11005,"hypothetical protein, conserved"
34,Tb11.v5.0196,-1.61315,6.522983831829999,0.50826,"Proteasome subunit A N-terminal signature/Proteasome subunit, putative"
35,Tb11.v5.0325,70.82515699999999,5.7335078231078365,0.00421,"retrotransposon hot spot (RHS) protein, putative"
36,Tb11.v5.0326,0.745603,5.907886781914454,0.6903100000000001,"retrotransposon hot spot (RHS) protein, putative"
37,Tb11.v5.0365,-18.168477,4.690218237345011,0.05798,"hypothetical protein, conserved"
