Gene_acc,Gene_id,Signed_Rank,log10_TMT_intensity,FDR,Desc
0,Tb05.5K5.110,1.944323,6.531510849286077,0.46046000000000004,"major vault protein, putative"
1,Tb06.3A7.270,10.031021,5.6745102580322975,0.12529,"hypothetical protein, conserved"
2,Tb06.3A7.960,-0.5125970000000001,5.617165006116728,0.7717,hypothetical protein
3,Tb07.11L3.100,-10.317703999999999,5.088851641633972,0.12208,SUMO-interacting motif-containing protein
4,Tb09.v4.0015,20.237645,5.6267375189764,0.05205,hypothetical protein
5,Tb10.v4.0033,-12.493360000000001,6.088323946901837,0.09938,pumillo RNA binding protein PUF1
6,Tb10.v4.0035,0.43218199999999996,6.390223057536707,0.80642,"stress-inducible protein STI1-like, putative"
7,Tb10.v4.0041,-2.712246,6.1552388418104504,0.3801,"PUB domain containing protein, putative"
8,Tb10.v4.0052,21.226507,6.141283549481654,0.04775,microtubule-associated protein 2
9,Tb11.01.2730,-1.4660879999999998,5.5622393180002945,0.53141,"hypothetical protein, conserved"
10,Tb11.02.5070b,2.089741,5.483226304601793,0.4418,"hypothetical protein, conserved"
11,Tb11.02.5090b,1.517024,5.420961881120924,0.5230199999999999,"proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene"
12,Tb11.02.5105b,-4.551966,5.48128063368471,0.26526,"hypothetical protein, conserved"
13,Tb11.02.5360b,0.489526,5.401591795042095,0.7820199999999999,"hypothetical protein, conserved"
14,Tb11.02.5370b,-0.400118,4.383003445910472,0.8199200000000001,"hypothetical protein, conserved"
15,Tb11.02.5380b,3.896122,6.0088742868507135,0.29841,"exosome complex exonuclease RRP44p homologue, putative"
16,Tb11.02.5390b,1.188442,6.216155341805454,0.58333,"mRNA processing protein, putative"
17,Tb11.02.5400b,10.150121,6.56202625671108,0.12425,"cystathionine beta-synthase, putative"
18,Tb11.02.5410b,0.565758,5.763759578078211,0.75375,"ubiquitin activating enzyme, putative"
19,Tb11.02.5420b,14.319293,6.2848298756868815,0.08375,"NADPH-cytochrome p450 reductase, putative"
