Gene_acc,Gene_id,Signed_Rank,log10_TMT_intensity,FDR,Desc
0,Tb05.5K5.110,1.170776,6.531510849286077,0.66851,"major vault protein, putative"
1,Tb06.3A7.270,3.444292,5.6745102580322975,0.41156000000000004,"hypothetical protein, conserved"
2,Tb06.3A7.960,1.000681,5.617165006116728,0.7016,hypothetical protein
3,Tb07.11L3.100,-12.444851,5.088851641633972,0.13581,SUMO-interacting motif-containing protein
4,Tb09.v4.0015,-1.666305,5.6267375189764,0.58758,hypothetical protein
5,Tb10.v4.0033,5.017958,6.088323946901837,0.3174,pumillo RNA binding protein PUF1
6,Tb10.v4.0035,1.0507790000000001,6.390223057536707,0.69263,"stress-inducible protein STI1-like, putative"
7,Tb10.v4.0041,-1.0677969999999999,6.1552388418104504,0.68912,"PUB domain containing protein, putative"
8,Tb10.v4.0052,-0.363147,6.141283549481654,0.87708,microtubule-associated protein 2
9,Tb11.01.2730,-3.5122190000000004,5.5622393180002945,0.40495,"hypothetical protein, conserved"
10,Tb11.02.5070b,-0.43281400000000003,5.483226304601793,0.85514,"hypothetical protein, conserved"
11,Tb11.02.5090b,-1.225738,5.420961881120924,0.6594399999999999,"proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene"
12,Tb11.02.5105b,-2.7694360000000002,5.48128063368471,0.46088,"hypothetical protein, conserved"
13,Tb11.02.5360b,-5.731005000000001,5.401591795042095,0.29131,"hypothetical protein, conserved"
14,Tb11.02.5370b,1.92812,4.383003445910472,0.55235,"hypothetical protein, conserved"
15,Tb11.02.5380b,1.374067,6.0088742868507135,0.6358,"exosome complex exonuclease RRP44p homologue, putative"
16,Tb11.02.5390b,1.1830530000000001,6.216155341805454,0.66788,"mRNA processing protein, putative"
17,Tb11.02.5400b,2.49329,6.56202625671108,0.48886999999999997,"cystathionine beta-synthase, putative"
18,Tb11.02.5410b,1.2427139999999999,5.763759578078211,0.65642,"ubiquitin activating enzyme, putative"
19,Tb11.02.5420b,8.030758,6.2848298756868815,0.21725999999999998,"NADPH-cytochrome p450 reductase, putative"
20,Tb11.02.5430b,0.666929,5.150185189601972,0.7855300000000001,"hypothetical protein, conserved"
21,Tb11.0320,0.503509,5.486798729097594,0.83101,hypothetical protein
22,Tb11.0400,-244.71951600000003,6.201327740917728,0.0,"P27 protein, putative"
23,Tb11.0870,-0.658041,4.965667741058447,0.7871,hypothetical protein
24,Tb11.0890,3.765535,5.936784087057733,0.38829,"epsin, putative"
25,Tb11.1220,0.772684,6.301029995663981,0.75667,hypothetical protein
26,Tb11.1390.1-p1,27.182018,6.04024542334341,0.0457,"hypothetical protein, conserved"
27,Tb11.1780.1-p1,-2.471741,5.874537478044758,0.49051999999999996,"retrotransposon hot spot protein 1 (RHS1, pseudogene), putative"
28,Tb11.1790.1-p1,-1.300344,5.314109598669944,0.65041,"retrotransposon hot spot protein (RHS, pseudogene), putative"
29,Tb11.1810b.1-p1,0.126332,5.285795767960695,0.9897,"retrotransposon hot spot protein (RHS, pseudogene), putative"
30,Tb11.v5.0154,0.701601,6.323507856278261,0.7762,"WD domain, G-beta repeat, putative"
31,Tb11.v5.0162,0.696294,6.04695925629152,0.77768,proteasome beta 6 subunit
32,Tb11.v5.0191,-13.071465,5.242113880094346,0.12611,"ELMO/CED-12 family, putative"
33,Tb11.v5.0194,-5.963654,4.732561815352686,0.282,"hypothetical protein, conserved"
34,Tb11.v5.0196,-0.790136,6.522983831829999,0.75289,"Proteasome subunit A N-terminal signature/Proteasome subunit, putative"
35,Tb11.v5.0325,40.630514,5.7335078231078365,0.021840000000000002,"retrotransposon hot spot (RHS) protein, putative"
36,Tb11.v5.0326,1.338222,5.907886781914454,0.64328,"retrotransposon hot spot (RHS) protein, putative"
37,Tb11.v5.0365,0.610132,4.690218237345011,0.7950699999999999,"hypothetical protein, conserved"
38,Tb11.v5.0366,15.848915,6.4769779138880965,0.10203,"hypothetical protein, conserved"
39,Tb11.v5.0412,-4.0562949999999995,5.532916094918825,0.37078,"hypothetical protein, conserved"
40,Tb11.v5.0428,1.42963,4.725059350801068,0.6260100000000001,"hypothetical protein, conserved"
41,Tb11.v5.0468,-0.245106,5.058769831342175,0.9451,"alpha tubulin, putative"
42,Tb11.v5.0480,-0.287252,6.060066710870536,0.9178200000000001,"DNA-directed RNA polymerase, alpha subunit, putative"
43,Tb11.v5.0482,-1.143633,5.060980983566012,0.67313,"hypothetical protein, conserved"
44,Tb11.v5.0487,-0.571071,5.7322095477301325,0.8084899999999999,"Programmed cell death protein 2, C-terminal putative domain containing protein, putative"
45,Tb11.v5.0489,-1.8908639999999999,5.429826539624137,0.55523,"retrotransposon hot spot (RHS) protein, putative"
46,Tb11.v5.0493,0.202435,5.128961161320008,0.96601,"kinesin K39, putative"
47,Tb11.v5.0501,-3.7189300000000003,6.671829806294785,0.39175,"40S ribosomal protein S3A, putative"
48,Tb11.v5.0507,-0.39584400000000003,5.393848854165138,0.8668299999999999,"hypothetical protein, conserved"
49,Tb11.v5.0517,-22.364193,5.222776280041579,0.06165,"hypothetical protein, conserved"
50,Tb11.v5.0528,0.373487,5.401272991133811,0.8754200000000001,"hypothetical protein, conserved"
51,Tb11.v5.0537,1.6565560000000001,6.4762169814267185,0.58841,"polyubiquitin, putative"
52,Tb11.v5.0553,-1.0279049999999998,5.264229711257186,0.6984,"ubiquitin hydrolase, putative"
53,Tb11.v5.0567,-1.26548,4.784049986119662,0.65393,"retrotransposon hot spot (RHS) protein, putative"
