Gene_acc,Gene_id,Signed_Rank,log10_TMT_intensity,FDR,Desc
0,Tb05.5K5.110,1.169938,6.531510849286077,0.6369,"major vault protein, putative"
1,Tb06.3A7.270,5.297992,5.6745102580322975,0.27055,"hypothetical protein, conserved"
2,Tb06.3A7.960,-1.401982,5.617165006116728,0.5923,hypothetical protein
3,Tb07.11L3.100,-1.62331,5.088851641633972,0.5533600000000001,SUMO-interacting motif-containing protein
4,Tb09.v4.0015,49.471687,5.6267375189764,0.01008,hypothetical protein
5,Tb10.v4.0033,-35.67062,6.088323946901837,0.02022,pumillo RNA binding protein PUF1
6,Tb10.v4.0035,-0.687533,6.390223057536707,0.75264,"stress-inducible protein STI1-like, putative"
7,Tb10.v4.0041,-0.646774,6.1552388418104504,0.76255,"PUB domain containing protein, putative"
8,Tb10.v4.0052,39.956610999999995,6.141283549481654,0.0162,microtubule-associated protein 2
9,Tb11.01.2730,0.353513,5.5622393180002945,0.86336,"hypothetical protein, conserved"
10,Tb11.02.5070b,3.99701,5.483226304601793,0.33547,"hypothetical protein, conserved"
11,Tb11.02.5090b,6.096692,5.420961881120924,0.2445,"proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene"
12,Tb11.02.5105b,-1.968625,5.48128063368471,0.5076,"hypothetical protein, conserved"
13,Tb11.02.5360b,5.210357,5.401591795042095,0.27453,"hypothetical protein, conserved"
14,Tb11.02.5370b,-1.791019,4.383003445910472,0.53178,"hypothetical protein, conserved"
15,Tb11.02.5380b,2.761031,5.989901231443667,0.42315,"exosome complex exonuclease RRP44p homologue, putative"
16,Tb11.02.5390b,0.564038,6.216155341805454,0.78713,"mRNA processing protein, putative"
17,Tb11.02.5400b,8.61655,6.56202625671108,0.17338,"cystathionine beta-synthase, putative"
18,Tb11.02.5410b,-0.565589,5.763759578078211,0.78668,"ubiquitin activating enzyme, putative"
19,Tb11.02.5420b,6.1282440000000005,6.2848298756868815,0.24414,"NADPH-cytochrome p450 reductase, putative"
20,Tb11.02.5430b,-0.431511,5.150185189601972,0.82916,"hypothetical protein, conserved"
